facility,survey_item,response,auditor_assigned_category,re_assigned_response,translated,original_language
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,It would be great to offer a bit more,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,We are grateful for the diversity of the programs and happenings at AARC and look forward to upcoming events.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,It's nice to see that all events are pretty well organized and attended.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,More events at ARC. We love going there!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"I love the programming at the AARC that has begun appealing to younger, second- and third-generation members of the AAPI community, collaborations with local and touring AAPI artists, and engagement with our LGBTQ and Muslim communities in particular.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Have enjoyed the varied educational and artistic displays throughout the center,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"fun events, nice facility",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,The programs are fantastic!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Pretty good place for cultural food and movie events. Asian night market events are pretty cool there and I am glad they expanded to Chinatown.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Not enough emphasis is placed on gallery space. The display cabinets are nice but seem sterile. Why do they not have a designated gallery?,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Chinese oriented.  The Asian culture cannot treat under the same categories in one.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"Is there room for more of a library?  Also, more specific explanation of city library Asian connections?  Connection to AISD Asian studies?",Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,I would like to see more weekday mid-morning/mid-day programs available for senior groups to attend/participate in.,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,It would be great to see diverse groups of Asian community gather and utilize AARC for their own programming and needs.,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Senior social lunch meal is poor either food or services.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,their landscaper/gardener is super kind and helpful,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Haven't experienced welcoming greeters, though when I ask about things, they are fairly nice, just excuse what they're not doing or able to do. They definitely need a few more staff members, as they seem overworked.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Great staff,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"(1)Again i have personally, as a KOOP Programmer and a user of these facilities have nothing but praise for the staff as guests, public servants and help during events.

(2) I have worked with the staff as an Emcee for the Austin-Oita Sister City celebrations and these festivals are made easier and better because fo the facility and staff.",Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,awesome to have an Asian American director,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Eric Oeur is amazing!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,A staff of good people!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Best in class!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,We have encountered some rigidity- we were asked to pay for kitchen rental if we use ice from the kitchen making ice prodigiously expensive,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"The staff were very friendly, helpful, and welcoming.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"(1) the staff and volunteers are in serious need of much much more serious training regarding handling of visitors, guests and enquiries. It is often a challenge to find a uniformed response from multiple staff and volunteers

(2) general management must be more involved in managing the entire operation so that at slow times as well as busy times guest and visitors are handled more professionally and accommodating.",Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"did not come into contact with staff that much but each time I have visited, I was greeted",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Took me FOREVER to get responses about field trips for my students. Literally months and me constantly asking for info. Disappointing.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,More deaf participants,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Follow traditional customs of men first and women second. Standing in line the men are served first and the women have to wait.  American custom is first in line is served, not by gender.",N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Very helpful, friendly staff workers.  Kudos to them for working so cheerfully with all the visitors!",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,STAFF ARE VERY NICE AND PASSIONATE ABOUT THEIR MISSION,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"From what I have read, I would strongly agree with above. I have not been there enough to experience.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"As there are a lot of temporary staff at the center, the new hires need constant training.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Staff are all very helpful, but roles are sometimes unclear.  This could be due to vacancies or under-staffing.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,They are great,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"I put n/a re respectful of cultures since I don't know, not being a member of those cultures.  They've been respectful to us though, and we are gay parents of biracial children, one of whom has  a disability.  so, I imagine if they are great with us, they'd be great with others.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,All experiences have been good.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,I have not had any experiences with COA/PARD staff at AARC. I went there for a program that had rented the space after hours. I did not see/engage with any staff.,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Did not speak with staff,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Working with the staff has always been a very pleasant experience.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"they attitude is not as friendly as Americans, could be because  that is their culture. Or they do not respect other cultures as much as their own. their own culture.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,They are often unaware of the activities planned by user organizations and thus needs better coordination for success.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"One time I asked about the programs and events at this center, however the staff said they knew nothing about the upcoming events.",Negative,False,True,Vietnamese
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Some part-time positions should be made into full-time positions.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,They are very knowledgeable and approachable. We have partnered with AARC on many community events.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Hopefully the turnover will be minimized.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"(1) Very Curtious

(2) Staff is wonderful",Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Some staff are welcoming and do a very good job of assisting visitors, others not so much.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"Always courteous, welcoming and professional.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"You all should hire more staff that are mid career and not just students, to have a more diverse age range. I would apply but I would think I would be passed up for someone younger or right out of school for an entry position. I used to be a greeter and cashier in retail, so I see the age range there (Target Stores) and I think the AARC should have a similar age range if the emphasis at AARC is on customer service (which it is). I did apply and would apply again.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,I walked through the center and looked at some of the youth art and alphabet writing in Asian languages. No one stopped to ask if I had questions or offer information.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,No appreciation for community people who provide free service as volunteers.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,"It was difficult coordinating a visit/tour for my senior group to the AARC especially the ability to plan for the lunch, the director was very inflexible. We have not returned.",Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,The staff at AARC is kind and helpful.,Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,Very very rude unfriendly staff and members thought asian center was for them only will never visit or ever recommend center waste of tax payer money norhing to learn about asian cultural,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with staff at the AARC.,general management must be more involved in managing the entire operation so that at slow times as well as busy times guest and visitors are handled more professionally and accommodating.,Negative,True,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,It has been hot when attending to see a performance in the theatre,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"as another City employee, I have had an awful time trying to book rooms for nature-based educational events for the community - was told it had to have a nexus with Mexican-American/Latino culture even though we were trying to engage more nearby neighbors in nature activities",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Parking options question should have been clarified to mean ""personal individual car and truck parking"" - the MACC is accessible in many better ways, if we can make it easier for more types of visitors to use those ways",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The parking is not good , it should be monitored more closely. I think at least 1 or 2 days out of the week (mon-fri, not including weekends) the facility should be open to 7 p.m .  The front office is a mess. There is paperwork everywhere , it is not inviting .  I have been in the bathroom and had to deal with homeless people abusing the restroom.  The facility is in need of landscape enhancements (major), including replacing plants to pots and adding seasonal color.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The facility needs to be better maintained with keeping it clean and with repairs.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Parking and traffic in that area, especially on weekends with all the activity at the clubs and restaurants on Rainey street can be an issue.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Replace elevators with newer safe elevators.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Always clean and welcoming,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Sharing parking with Raini st. is not a good combination, during events, patrons and artists are getting parking tickets because the MACC does not provide parking attendants to some groups, so patrons have to pick up their parking slip at the office, risking getting a ticket while they are away from the car. There should be a better way and coordination with parking administration to consider hard working artists getting penalized .  We also need a bigger performing arts theater, the auditorium is too small for some events.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Since I have a much older child, I remember camps pre-Rainey redevelopment.  The driving commute has gotten more difficult from my home, the street is more difficult to navigate, and I've gotten a flat tire from construction debris (giant nail in tire as exiting parking lot).  I feel like access to this amazing resource has been jeopardized a bit.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,stick to the fundamentals.....,N/A,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Nice space.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I believe that the bar culture on Rainey street may not be a hindrance to the people in the bars learning about the ESB-MACC, attending and enjoying the ESB-MACC's cultural offerings.   However, it's the original community - mostly Mexican Americans who lived on Rainey Street and still live more in the Holly neighborhood and from any part of the City who deserve this awesome cultural facility. I love the ESB-MACC and am glad to support it with my property tax dollars. Let's ask the corporations to do more of their fair share.",Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Needs to be open on Sundays.  Mostly for visitors to Austin.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The parking is horrible and there should be an option to open the extended parking which usually is never allowed.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I cannot give my feedback on maintenance or meeting needs cause I’ve never rented the space.,N/A,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,probably will be nice more sitting areas outside and a coffee shop on-premises will be nice.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The parking was a little confusing.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,There needs to be more parking and a closer bus stop. People with mobility issues cannot easily get to the MaCC,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I've already mention the parking issue...stages are limited, which then limits the type of performances ESB-MACC can sponsor/or rent. When will the remaining phases be built? And will there be citizens communications meeting held?",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The ESB-MACC needs newer computers with video & audio editing capabilities.  Current computers available for classes are for search purposes only.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Very unorganized rooms not enough sitting meeting area.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The center lacks of a medium size theater. The auditorium's capacity is sometimes insuficient. The parking: the public and artists will get a parking ticket by the time we park and find a parking permit for events.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I think the MACC is such an important center for Austin, not only for Mexican Americans but for everyone to learn more about Latino culture.",Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Facility is getting old,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I enjoy going to this facility very much.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The location and non-driving access on the lake and in traditional east austin are ok. It's hard a night with all the other activity in that area.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I can definitely take my car to the facility and I know some can get there by bike but the bus option is terrible. I really wish CapMetro would have better stop options for this site and Fiesta Gardens. It baffles me why I have to walk a mile with my 3 year old to get to a city cultural center.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I’m not sure how close it is for a bus line but the parking is adequate. I’ve only ever driven so I’m not sure what other transportation needs there are for folks with limitations.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I love the place! But Booooo Rainey Street! Que se chinguen!,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"There is a great need to continue the expansion of the MACC in terms of studio, exhibition and performance space.  The city should proceed with the newly revised masterplan immediately.",Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Public parking fees are to high and need to are more parking spots.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The lot in front of the MACC which I believe they own, is full of weeds and dirt. Thats the intro to the MACC. And the trail behind it now has tents and garbage with the homeless. MACC leadership should take action. Its an embarrassment to the MA community. Again, great building and location but currently wasted potential.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Additional parking is needed at ESB-MACC on scheduled events. Suggest working with Capitol Metro to provide bus service from a designated parking lot to/from event.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"We use the services they offer in the Sanchez school, we can park in that area and the bus pick us up right there because there are many businesses near the ESM-MACC and it is a good option.",Positive,False,True,Spanish
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Only people that attend events should be able to park there! It is being used by the Rainey Street party goers!! Not cool!!,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I always thought ESB-MACC was at a unique location but as the area has evolved.  I thought ESB-MACC could eventually be moved to a different location...,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The MACC needs a larger auditorium. The last event my organization held there was standing room only and it included several older folks with walkers/wheelchairs. There needs to be a large auditorium that seats 250+ people. My organization is having to find alternatives because the MACC can't accommodate us. And while the risers are great for some events/participants, they don't work so well for older folks who can't navigate stairs.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The room we used could have been cleaned more.  Other than that loved the space.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"As a sixth-generation Austinite with roots in east Austin, I am saddened that this location is inaccessible. Something east of I35 would be a more logical space to celebrate our heritage and contribution to the city.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,My husband Jose Francisco Trevino had a one-man exhibit at the MACC in the main gallery>,N/A,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,We appreciate having a culture center helps understand the culture keeping our transition alive for younger generations to understand a culture,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I already gave my input on this. A great place.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Glad there is a place to enjoy the Latino Events,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I am so grateful that the city built a great facility with designated parking. It is really nice.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I always walk to the MACC from my East Side home.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Parking is and always will be a challenge for them because of where they are located but their location is wonderful because it is so central and in a place of high visibility to the hike and bike trail which has lots of foot traffic.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Additional building space is needed in order to provide better facility use by the community that the MACC was built for 30+ years ago.  It is my opinion also, that due to the growth that has occurred on Rainey Street the past10 years, this has had an affect on people attending programs, etc. at the MACC",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Parking should be exclusive to the MACC activities. Sharing space with drunk people on Rainey street degrades the meaning of a cultural center (and its patrons/attendants). Parking could be maximized and condos in that area should also serve for free overflow for big events (like Dia de Muertos). All of the surrounding businesses should contribute to the MACC and its attendants. This would show respect and appreciation for Latinx culture in Austin.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Dog poop all over the grounds==Parking is for the bar patrons on Rainy street,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"PLEASE BUILD IN SOME MORE PARKING, WE HAVE ENOUGH BARS, WE NEED MORE CULTURE AND FAMILY ACTIVITIES IN THE DOWNTOWN AREA",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"During large community events, I would like to see more portable toilets and additional lighting in the area where they are placed.",Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Great facilities, very open to the public and very welcoming.",Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Again, small Mexican-American nonprofits are underserved by this facility, as are individuals. Being open from 10am to 6pm during the week and being closed on Sundays only leaves a few hours on Saturday for working people to visit or use the facilities. For organizations, most meet in the evening after everyone is off work, but they can't meet there (a desperate need, honestly). It can't be the bustling Mexican-American Cultural Center it was envisioned to be if it's only open during standard business hours during the week when those who would most benefit from it are at work.    For live music, there isn't a large enough indoor open space to accommodate dance space and a stage area.     Lastly, while it is a beautiful building, nothing about the design of the building from the outside suggests that it is a Mexican-American Cultural Center, except the small-ish mural when you're going in the entrance. The stark whiteness of it makes it look like an art museum unattached to any specific culture.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"1) Rust, dirty exterior walls, peeling paint.

2) I believe that the increased construction of condos has ruined the Rainey Street neighborhood and ignored and disrespected the Hispanic history of this neighborhood. Having the MAAC in the Rainey neighborhood is a reminder of the tokenism and hypocrisy of our City government. You build a community center for Hispanic culture but surround it with bars and condos for the anyone but Hispanics.",Negative,True,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,All is good.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,It would be nice to have some more kid-friendly pieces inside and outside for kids to climb on and engage with.  It's a little sterile.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The MACC needs to be expanded- larger gallery, cafe and more classrooms and meeting rooms",Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I know there is a push to enlarge these facilities, however I don't believe that this need is greater than some of the other social needs our City faces like homelessness or actually providing affordable housing to these undeserved demographic groups. Once you enlarge one facility all the others are going to want to be enlarged too. This takes up a finite amount of resources and maintains the status quo, which is unacceptable.",Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Would rather have the parking be free,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I have never felt welcome there.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The space is so beautiful and it reminds the Mexican American community of their impact and history here in Austin and central Texas!,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Thank you for providing this space!,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The MACC needs specific space for performances like theater, dance, etc.",Suggestion,False,True,Spanish
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I would like to see the center have a studio space available to visual artists participating in access program.,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Parking is a nightmare in that area.  I will not attend anything held on a Friday or Saturday evening because fighting the bar crowd is too frustrating.  Guards that are supposed to keep bar folks out of your parking keeps your patrons out too.  Even I (with handicap parking tag), was denied entrance to your parking area when I went to see a friend of mine in a play.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"1) The ESB-MACC is a good neighbor and we are proud of their mission and objectives.

2) The center holds many events that work with the Rainey urban neighborhood which has many issues with the rapid and uncontrolled growth.  Safety for residents and visitors to this area of high concern,",Negative,True,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The center has met the needs of the events I have helped put on at the MACC. However, it is evident that the center is at full capacity with the upcoming extension providing some much needed relief.",Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I hope to attend more activities there, but parking was a challenge.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,It just doesn’t make sense and is cumbersome to have the bathrooms separate and outside the main building.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Attended a Hispanic event in the main performance room and it was dangerously over crowded. The center needs a larger main event room or a large covered outdoor space for the big events.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,More parking,Suggestion,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Facility is small and a bit hard to access. Must really want to go there. It appears that it is a bit discriminatory by its lack access.,Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Unfortunately, a lot of the parking spaces near this center are of paid parking, unlike other culture centers.",Negative,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Get rid of Adler, worst mayor ever",N/A,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I love how the building is white on the exterior and bright and vibrant on the inside. The exterior neutrality of color promotes respect and the inside screams festivity and vitality.,Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional thoughts about fees at the ESB-MACC.,"Sorry, I don't know what the fees are but I'm sure they're fine!",Positive,False,False,English
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional thoughts about fees at the ESB-MACC.,"In conversations with members of non- profit organizations, their issue is that the center fees are high and not afforable",Negative,False,False,English
